0,zero,Shuniye
1,one,Ek
2,two,Do
3,three,Teen
4,four,Char
5,five,Panch
6,six,Cheh
7,seven,Saat
8,eight,Aath
9,nine,Nao
10,ten,Das
11,eleven,Gyaarah
12,twelve,Baarah
13,thirteen,Tehrah
14,fourteen,Chaudah
15,fifteen,Pandrah
16,sixteen,Saulah
17,seventeen,Satrah
18,eighteen,Atharah
19,nineteen,Unnis
20,twenty,Bees
21,twenty one,Ikis
22,twenty two,Bais
23,twenty three,Teis
24,twenty four,Chaubis
25,twenty five,Pachis
26,twenty six,Chabis
27,twenty seven,Satais
28,Twenty eight,Athais
29,twenty nine,Unatis
30,thirty,Tis
31,thirty one,Ikatis
32,thirty two,Batis
33,thirty three,Tentis
34,thirty four,Chautis
35,thirty five,Pentis
36,thirty six,Chatis
37,thirty seven,Setis
38,thirty eight,Adhtis
39,thirty nine,Untaalis
40,forty,Chalis
41,forty one,Iktalis
42,forty two,Byalis
43,forty three,Tetalis
44,forty four,Chavalis
45,forty five,Pentalis
46,forty six,Chyalis
47,forty seven,Setalis
48,forty eight,Adtalis
49,forty nine,Unachas
50,fifty,Pachas
51,fifty one,Ikyavan
52,fifty two,Baavan
53,fifty three,Tirepan
54,fifty four,Chauvan
55,fifty five,Pachpan
56,fifty six,Chappan
57,fifty seven,Satavan
58,fifty eight,Athaavan
59,fifty nine,Unsadh
60,sixty,Saadh
61,sixty one,Iksadh
62,sixty two,Baasad
63,sixty three,Tirsadh
64,sixty four,Chausadh
65,sixty five,Pensadh
66,sixty six,Chiyasadh
67,sixty seven,Sadhsadh
68,sixty eight,Asdhsadh
69,sixty nine,Unahtar
70,seventy,Sattar
71,seventy one,Ikahtar
72,seventy two,Bahatar
73,seventy three,Tihatar
74,seventy four,Chauhatar
75,seventy five,Pachhatar
76,seventy six,Chiyahatar
77,seventy seven,Satahatar
78,seventy eight,Adhahatar
79,seventy nine,Unnasi
80,eighty,Assi
81,eighty one,Ikyasi
82,eighty two,Byaasi
83,eighty three,Tirasi
84,eighty four,Chaurasi
85,eighty five,Pachasi
86,eighty six,Chiyaasi
87,eighty seven,Sataasi
88,eighty eight,Athasi
89,eighty nine,Nauasi
90,ninety,Nabbe
91,ninety one,Ikyaanave
92,ninety two,Baanave
93,ninety three,Tiranave
94,ninety four,Chauraanave
95,ninety five,Pachaanave
96,ninety six,Chiyaanave
97,ninety seven,Sataanave
98,ninety eight,Adhaanave
99,ninety nine,Ninyaanave
100,one hundred,Ek Sau
